,tid,id,question
70,tttt----23,tttt----23----6-2-1,唐山港集团股份有限公司是什么时间上市的（回答XXXX-XX-XX）
71,tttt----23,tttt----23----6-2-2,当年一共上市了多少家企业？
72,tttt----23,tttt----23----6-2-3,这些企业有多少是在北京注册的？
73,tttt----23,tttt----23----6-2-4,哪些是注册和办公都在海淀的？
74,tttt----24,tttt----24----7-2-1,山东药玻2020年发布的19年年报的大股东是谁
75,tttt----24,tttt----24----7-2-2,19年一共有多少户股东？
76,tttt----24,tttt----24----7-2-3,他的流通股本有多少股？
77,tttt----24,tttt----24----7-2-4,19年的股权变动中涉及股数量最大的一次非专场大宗交易是在哪天正式变动的？（时间回答XXXX-XX-XX）
78,tttt----25,tttt----25----8-2-1,中南出版传媒集团股份有限公司的证券代码是多少？
79,tttt----25,tttt----25----8-2-2,该公司2019年母公司一季报中预付款项是多少？
80,tttt----25,tttt----25----8-2-3,总营收呢？
81,tttt----25,tttt----25----8-2-4,经营活动现金流入了多少？
82,tttt----26,tttt----26----9-2-1,000932的英文名称是什么？
83,tttt----26,tttt----26----9-2-2,该公司20年的年报中前三高管薪资是多少？
84,tttt----26,tttt----26----9-2-3,当年该公司是否成功资产重组？(回答是或者否)
85,tttt----27,tttt----27----10-2-1,RXW中文全称是什么？
86,tttt----27,tttt----27----10-2-2,该公司上市时一共配售了多少张股？
87,tttt----27,tttt----27----10-2-3,21年该公司的研发投入是多少？
88,tttt----28,tttt----28----11-2-1,"Titan Wind Energy (Suzhou) Co.,Ltd.董秘是谁"
89,tttt----28,tttt----28----11-2-2,20年首次信息发布中单笔回购资金总额上限最高的是多少？
90,tttt----28,tttt----28----11-2-3,怎么管理？
91,tttt----29,tttt----29----12-2-1,东兴证券2019年一共成功为多少家公司提供过担保？
92,tttt----29,tttt----29----12-2-2,这些担保项目中担保最多的金额是多少？
93,tttt----29,tttt----29----12-2-3,当年该公司有多少起合同纠纷？
94,tttt----30,tttt----30----13-2-1,李一硕一共管理了多少支基金
95,tttt----30,tttt----30----13-2-2,这些基金中规模最大的是哪一个？
96,tttt----30,tttt----30----13-2-3,这支基金的管理人法人是谁？
97,tttt----31,tttt----31----14-2-1,2019年12月12日哪家证券公司受到了处罚
98,tttt----31,tttt----31----14-2-2,他是多少家公司的股东？
99,tttt----31,tttt----31----14-2-3,哪家公司当年的借贷最多，共计多少？
100,tttt----32,tttt----32----15-2-1,深桑达最近一次停牌是什么时候？（时间回答XXXX-XX-XX）
101,tttt----32,tttt----32----15-2-2,当日哪家公司收盘价最高，最高价是多少？
102,tttt----32,tttt----32----15-2-3,是否创近一周的新高？（回答是或者否）
103,tttt----33,tttt----33----16-2-1,深圳市桑达实业股份有限公司最近一次创上市以来的新高是在什么时候？（时间回答XXXX-XX-XX）
104,tttt----33,tttt----33----16-2-2,当天涨幅超过10%股票有多少家？
105,tttt----33,tttt----33----16-2-3,这些公司中有哪些是连板的？
106,tttt----34,tttt----34----17-2-1,山东国瓷功能材料股份有限公司2021年9月23日开盘价是多少？
107,tttt----34,tttt----34----17-2-2,当天，外资占股多少？
108,tttt----34,tttt----34----17-2-3,当年及20年该公司的预案一共增发了多少股？
109,tttt----35,tttt----35----18-3-1,北京国枫律师事务所2020年见证多少家公司的年度股东大会？
110,tttt----35,tttt----35----18-3-2,这些公司中有哪些当年股东减持了的？
111,tttt----35,tttt----35----18-3-3,当年哪家公司的涨幅最大，达到了多少，保留4位小数？
112,tttt----36,tttt----36----19-2-1,2019-01-04哪家公司主力净流入最多？
113,tttt----36,tttt----36----19-2-2,这家公司5日内平均成交额是多少，保留2位小数？
114,tttt----36,tttt----36----19-2-3,当日该指标超过该公司的一共有多少家？
115,tttt----37,tttt----37----20-2-1,波司登在港股的股票代码是什么？
116,tttt----37,tttt----37----20-2-2,他的注册资本是多少？
117,tttt----37,tttt----37----20-2-3,他的员工人数哪年变动最大，前后差距是多少人？
118,tttt----38,tttt----38----21-2-1,天弘沪深300ETF联接A基金的管理经理是谁？
119,tttt----38,tttt----38----21-2-2,所在基金公司管理了多少支基金？
120,tttt----38,tttt----38----21-2-3,哪只基金20年最后一次分红的税前分红最高，有多少，保留2位小数？
121,tttt----39,tttt----39----22-2-1,"JD.com, Inc.这家公司在美股英文名称是什么？"
122,tttt----39,tttt----39----22-2-2,他的证券简称是什么？
123,tttt----39,tttt----39----22-2-3,20年该公司单日最高涨幅有多少
124,tttt----40,tttt----40----23-2-1,携程网这家公司电话是多少？
125,tttt----40,tttt----40----23-2-2,他是什么时候成立的？（时间回答XXXX-XX-XX）
126,tttt----40,tttt----40----23-2-3,2020年9月18日这家公司的收盘价是多少
127,tttt----41,tttt----41----24-2-1,2020年成立的CN公司有多少家？
128,tttt----41,tttt----41----24-2-2,哪家公司（证券简称）上市的时间最晚，是什么时候？（时间回答XXXX-XX-XX）
129,tttt----41,tttt----41----24-2-3,2019年的当天有多少家公司是上涨的？
130,tttt----42,tttt----42----25-1-1,比特矿业这家公司邮编多少？
131,tttt----42,tttt----42----25-1-2,上市了多少年
132,tttt----42,tttt----42----25-1-3,这些年A股一共上市了多少家公司？
133,tttt----43,tttt----43----26-1-1,TOUR他是否已经退市了？（是或者否）
134,tttt----43,tttt----43----26-1-2,这家公司19年最高收盘价是多少
135,tttt----43,tttt----43----26-1-3,当天有多少家公司退市了
136,tttt----44,tttt----44----27-1-1,2021年08月哪支基金税后分红最高
137,tttt----44,tttt----44----27-1-2,这支基金是什么时候生效的（时间回答XXXX-XX-XX）
138,tttt----44,tttt----44----27-1-3,基金所属公司的官网是什么
139,tttt----45,tttt----45----28-1-1,易方达基金管理有限公司在19年成立了多少支基金？
140,tttt----45,tttt----45----28-1-2,哪支基金的规模最大？
141,tttt----45,tttt----45----28-1-3,这支基金20年最后一次分红派现比例多少钱？
142,tttt----46,tttt----46----28-4-1,南方基金管理股份有限公司在19年成立了多少支基金？
143,tttt----46,tttt----46----28-4-2,哪支基金的规模最大？
144,tttt----46,tttt----46----28-4-3,"这支基金20年最后一次分红派现比例多少钱,保留2位小数？"
145,tttt----47,tttt----47----30-1-1,中证指数有限公司发布了多少种指数？
146,tttt----47,tttt----47----30-1-2,这些指数包括了多少家公司？
147,tttt----47,tttt----47----30-1-3,在2020年调入过的有多少家？
148,tttt----48,tttt----48----1-2-1,铜陵有色金属集团股份有限公司的法人代表是谁？
149,tttt----48,tttt----48----1-2-2,铜陵有色金属集团股份有限公司在什么时候成立的？回复时给我YYYY/MM/DD的格式
150,tttt----48,tttt----48----1-2-3,铜陵有色金属集团股份有限公司的总经理是谁？
151,tttt----49,tttt----49----3-2-1,深科技的信披网址是哪个网站?
152,tttt----49,tttt----49----3-2-2,该公司在过去的进行了几次非公开增发
153,tttt----49,tttt----49----3-2-3,最近一次非公开增发的数量是多少？
154,tttt----50,tttt----50----4-2-1,福建坤彩材料科技股份有限公司的注册地在哪个省份？
155,tttt----50,tttt----50----4-2-2,该公司2020年年度报告中，未调整的合并资产负债表中提到的资产总计是多少？
156,tttt----50,tttt----50----4-2-3,他的2020年年度报告中，未调整的母公司资产负债表显示的负债合计是多少？
157,tttt----51,tttt----51----5-2-1,海信视像科技股份有限公司在什么时候成立的，XXXX-XX-XX？
158,tttt----51,tttt----51----5-2-2,该公司在2021年的半年度报告中未调整的**合并报表**营业总成本是多少？
159,tttt----51,tttt----51----5-2-3,该公司在2021年的半年度报告中未调整的**合并报表**净利润是多少？
160,tttt----52,tttt----52----6-2-1,申能股份在过去一共接待了几次调研？
161,tttt----52,tttt----52----6-2-2,最近一次调研是什么时候？
162,tttt----52,tttt----52----6-2-3,最近一次调研的地点是哪？
163,tttt----53,tttt----53----7-2-1,水晶光电实施完成的员工持股计划有几个？
164,tttt----53,tttt----53----7-2-2,最近一次完成的员工持股计划，股票规模上限和资金总额上限是多少
165,tttt----53,tttt----53----7-2-3,该计划是否是分期实施的？如果实施回答A，没有实施回答B
166,tttt----54,tttt----54----8-2-1,普洛药业在2020-11-25的最高价和最低价是多少？
167,tttt----54,tttt----54----8-2-2,"当天换手率是多少,保留2位小数？"
168,tttt----54,tttt----54----8-2-3,"年化夏普比率和波动率（日步长）是多少,保留2位小数？"
169,tttt----55,tttt----55----9-2-1,截止2021-06-17上海建工的近一周成交金额（万元）是多少？
170,tttt----55,tttt----55----9-2-2,近一个月的成交金额（万元）是多少？
171,tttt----55,tttt----55----9-2-3,与月成交均价相比，近一周的成交均价是高还是低？这两者具体是多少？保留两位小数
172,tttt----56,tttt----56----10-2-1,建元信托股份有限公司十大股东的类型有哪些？
173,tttt----56,tttt----56----10-2-2,2020年年度报告中，该公司的最大股东是谁，他持有多少股份？
174,tttt----56,tttt----56----10-2-3,"2020年年度报告中,该公司的国有股东持股总和是多少？"
175,tttt----57,tttt----57----31-3-1,2020年最后一个交易日是哪一天？用XXXX年XX月XX日回复我
176,tttt----57,tttt----57----31-3-2,鱼跃医疗在2020年末的总市值是多少元？
177,tttt----57,tttt----57----31-3-3,鱼跃医疗在2020年末回看近12个月成交金额是多少元？
178,tttt----57,tttt----57----31-3-4,帮我算一下，鱼跃医疗 在2020年末的12个月总成交金额占总市值的比值是多少？保留2位小数
179,tttt----58,tttt----58----32-2-1,2021年1月11日，正常交易且跳空低开的股票一共有几只？
180,tttt----58,tttt----58----32-2-2,其中振幅最大的是哪个股票？
181,tttt----58,tttt----58----32-2-3,这只股票主力净流入量是多少？
182,tttt----59,tttt----59----33-2-1,2019下半年，成交量创近一季度新高的证券数量最多的交易日是哪一天？
183,tttt----59,tttt----59----33-2-2,那一天成交量创近一季度新高的证券数量有多少？
184,tttt----59,tttt----59----33-2-3,那一天上涨和下跌的证券数量分别是？
185,tttt----60,tttt----60----33-5-1,2021下半年，成交量创近一季度新高的证券数量最多的交易日是哪一天，XXXX年XX月XX日？
186,tttt----60,tttt----60----33-5-2,那一天成交量创近一季度新高的证券数量有多少？
187,tttt----60,tttt----60----33-5-3,那一天上涨和下跌的证券数量分别是？
188,tttt----61,tttt----61----34-3-1,2020上半年共上市多少只基金？
189,tttt----61,tttt----61----34-3-2,其中设立规模最大的基金是？(披露名称按证监会官网命名)
190,tttt----61,tttt----61----34-3-3,其中数量最多的基金类别是什么，有多少只？
191,tttt----62,tttt----62----35-1-1,博时基金公司成立于（XXXX年XX月XX日）？
192,tttt----62,tttt----62----35-1-2,比博时基金成立更早的基金公司(简称)有哪些？
193,tttt----62,tttt----62----35-1-3,和博时基金属于同一地区的基金公司(简称)有哪些？
194,tttt----63,tttt----63----36-1-1,最新更新的2019年度报告中，机构持有无限售流通A股数量合计最多的公司简称是？
195,tttt----63,tttt----63----36-1-2,在这份报告中，该公司机构持有无限售流通A股比例合计是多少，2位小数？
196,tttt----63,tttt----63----36-1-3,该公司前十大股东持股比例合计是多少，2位小数？
197,tttt----64,tttt----64----36-4-1,最新更新的2021年度报告中，机构持有无限售流通A股数量合计最多的公司简称是？
198,tttt----64,tttt----64----36-4-2,在这份报告中，该公司机构持有无限售流通A股比例合计是多少，保留2位小数？
199,tttt----64,tttt----64----36-4-3,该公司前十大股东持股比例合计是多少？
200,tttt----65,tttt----65----37-2-1,安琪酵母在2020年全年的最高收盘价是多少，出现在哪一天（XXXX年XX月XX日）？
201,tttt----65,tttt----65----37-2-2,当天成交量是否创近一月以来新高？
202,tttt----65,tttt----65----37-2-3,连续放量天数为多少？
203,tttt----66,tttt----66----37-5-1,安琪酵母在2021年全年的最高收盘价是多少，出现在哪一天，XXXX年XX月XX日？
204,tttt----66,tttt----66----37-5-2,当天成交量是否创近一月以来新高？
205,tttt----66,tttt----66----37-5-3,连续放量天数为多少？
206,tttt----67,tttt----67----38-2-1,厦门钨业在2019年全年的最低收盘价是多少，出现在哪一天，XXXX年XX月XX日？
207,tttt----67,tttt----67----38-2-2,厦门钨业在当天的VRSI量相对强弱是多少，保留4位小数？
208,tttt----67,tttt----67----38-2-3,厦门钨业已连跌几天？
209,tttt----68,tttt----68----38-5-1,厦门钨业在2021年全年的最低收盘价是多少，出现在哪一天，XXXX年XX月XX日？
210,tttt----68,tttt----68----38-5-2,厦门钨业在当天的VRSI量相对强弱是多少，保留4位小数？
211,tttt----68,tttt----68----38-5-3,厦门钨业已连跌几天？
212,tttt----69,tttt----69----39-2-1,芯片概念概念板块属于什么2级概念？
213,tttt----69,tttt----69----39-2-2,"截止2023年末,该2级概念下一共有几个未终止的概念板块？"
214,tttt----69,tttt----69----39-2-3,芯片概念概念板块的英文名称是什么？
215,tttt----70,tttt----70----40-2-1,按2021年末新版申万行业分类，现在杰瑞股份属于什么申万二级行业？
216,tttt----70,tttt----70----40-2-2,2021年末，该申万二级行业中有几个股票？
217,tttt----70,tttt----70----40-2-3,2021年末，该股票的总市值占二级行业总市值百分之多少（四舍五入保留2位小数）？
218,tttt----71,tttt----71----41-2-1,2021年末，按新版申万行业分类，现在均胜电子属于什么申万一级行业？
219,tttt----71,tttt----71----41-2-2,2021年末，该一级行业中有几个股票？
220,tttt----71,tttt----71----41-2-3,2021年末，该股票的A股流通市值占一级行业流通市值百分之多少（四舍五入保留2位小数）？
221,tttt----72,tttt----72----29-2-1,2020-07-02风电零部件行业的总市值是多少(元)？
222,tttt----72,tttt----72----29-2-2,其中A股流通市值是多少（元）？
223,tttt----72,tttt----72----29-2-3,下一个交易日的A股流通市值是多少（元）？
224,tttt----73,tttt----73----17-2-1,软通动力在2019年报酬总额和领取报酬的管理层人数是多少？
225,tttt----73,tttt----73----17-2-2,其中前三名董事的报酬是多少？
226,tttt----73,tttt----73----17-2-3,该公司2020年报酬总额是多少？与2019年相比增加还是减少？
227,tttt----74,tttt----74----18-2-1,天弘增利短债C的基金管理人是谁？
228,tttt----74,tttt----74----18-2-2,该基金的运作方式是什么？
229,tttt----74,tttt----74----18-2-3,该基金的投资风格是什么？
230,tttt----75,tttt----75----42-2-1,截止至中国软件2021年Q4季度，研发投入总额是多少？（调整后的合并报表）
231,tttt----75,tttt----75----42-2-2,截止至中国软件2021年Q4季度，研发投入占营业收入比例是多少？
232,tttt----75,tttt----75----42-2-3,请根据中国软件截止至2021年Q4季度的研发人员数量和占比推算公司总人数（计算方式：总人数 = 研发人员数量 ÷ (研发人员占比 ÷ 100)，结果取整）。
233,tttt----76,tttt----76----43-2-1,陆家嘴在2019年的最大借贷金额是多少？
234,tttt----76,tttt----76----43-2-2,陆家嘴在2019年的单次首次借贷金额最高的借款方是谁？其单次首次借贷金额是多少？
235,tttt----76,tttt----76----43-2-3,陆家嘴在2019年最新的借贷事件是什么？给我的答案包括事件内容、借贷方、出借方和借贷金额等信息。
236,tttt----77,tttt----77----44-2-1,亿帆医药在2020年的最大担保金额是多少？
237,tttt----77,tttt----77----44-2-2,亿帆医药在2020年的最大担保金额涉及的担保方是谁？担保金额是多少？
238,tttt----77,tttt----77----44-2-3,亿帆医药在2020年最新的担保事件是什么？答案包括事件内容、担保方、被担保方和担保金额信息。
239,tttt----78,tttt----78----45-2-1,许继电气在2021年发布了多少条重大事项公告？
240,tttt----78,tttt----78----45-2-2,许继电气在2021年签订的涉及金额最大的合同标的是哪个？金额是多少？
241,tttt----78,tttt----78----45-2-3,许继电气在2021年签订金额最大的合同是否发生在重大事项公告之后？签订的合同日期和重大事项公告日期分别是什么（XXXX-XX-XX）？
242,tttt----79,tttt----79----46-2-1,美亚光电在2021年的减持计划中，最大可减持股份数量（减持股份数量上限(股)）与最小可减持股份数量（减持股份数量下限(股)）的差距是多少？
243,tttt----79,tttt----79----46-2-2,美亚光电在2021年的减持计划中涉及了多少名股东？
244,tttt----79,tttt----79----46-2-3,美亚光电在2021年的减持计划中，哪位股东的最大减持比例最高？
245,tttt----80,tttt----80----1-2-1 ,利亚德的证券代码和ISIN代码是什么？
246,tttt----80,tttt----80----1-2-2 ,该公司最新的证监会行业代码是多少？该行业下有多少家上市公司？
247,tttt----80,tttt----80----1-2-3 ,利亚德最近三次投资者调研的具体时间(xxxx-xx-xx的格式)、地点和参与机构数量分别是多少？
248,tttt----81,tttt----81----2-2-1 ,隧道股份在2021年底有多少个国家队持股股东？
249,tttt----81,tttt----81----2-2-2 ,这些股东的持有A股总数是多少？
250,tttt----81,tttt----81----2-2-3 ,在这些股东中，持股比例最高的是哪个股东？持股比例是多少？（保留2位小数）
251,tttt----82,tttt----82----3-2-1 ,中国宝安2021年底的员工总数是多少？其中技术人员占比是多少？（保留2位小数）
252,tttt----82,tttt----82----3-2-2 ,在该公司的技术人员中，具有硕士及以上学历（硕士+博士）的人员占比是多少？（保留2位小数）
253,tttt----82,tttt----82----3-2-3 ,该公司的人才结构是否合理？请分析技术人员、生产人员、销售人员的比例构成。
254,tttt----83,tttt----83----4-2-1 ,海信家电在2021-12-24这天，小单、中单和大单的净流入情况如何？净流入额分别是多少？(单位：元)
255,tttt----83,tttt----83----4-2-2 ,基于上述资金流向数据，大单对比小单的净买入率(额)差值是多少个百分点？这种资金流向组合反映了什么现象？ (保留两位小数)
256,tttt----83,tttt----83----4-2-3 ,请结合该股票所属的概念板块，2021-12-24当天其所属概念板块的大单小单净买入率差值是多少个百分点？
257,tttt----84,tttt----84----5-2-1 ,永泰能源在2020年发生了几次业务范围变更？请列出每次变更的具体日期（xxxx-xx-xx的格式）
258,tttt----84,tttt----84----5-2-2 ,在2020年永泰能源的业务变更日期前后30天内，公司发生了多少次信用评级相关事件？请列出具体的事件日期。
259,tttt----84,tttt----84----5-2-3 ,比较永泰能源在2019年和2020年的业务变更次数和信用事件次数，计算2020年相对于2019年的变化率。哪个指标的变化更大？
260,tttt----85,tttt----85----6-2-1 ,鹏华基金在2019年成立了多少只基金？这些基金的总募集规模是多少？(单位：元)
261,tttt----85,tttt----85----6-2-2 ,在上述成立的基金中，有多少只是股票型基金？这些股票型基金的平均募集规模是多少？(单位：元)
262,tttt----85,tttt----85----6-2-3 ,请分析该公司2019年新成立的股票型基金中，采用被动投资策略(指数型)的基金占比是多少？这一比例相比同期其他基金公司是高还是低？
263,tttt----86,tttt----86----7-2-1 ,安琪酵母在2021年12月31日的股东总户数是多少？其中A股股东户均持股数是多少股？
264,tttt----86,tttt----86----7-2-2 ,基于上述股东数据，该公司A股户均持股数相比上一季度的变化率是多少(四舍五入到小数点后两位)？这种变化反映了什么现象？
265,tttt----86,tttt----86----7-2-3 ,该公司2021年的管理层总薪酬是多少，所有公司平均水平是多少？该公司管理层薪酬与行业平均水平的差异率是多少？ (四舍五入保留两位小数)
266,tttt----87,tttt----87----8-2-1 ,健康元药业集团股份有限公司在2020-2021年期间进行了几次股份回购？每次回购的金额(单位：万元，保留两位小数)和股数分别是多少？
267,tttt----87,tttt----87----8-2-2 ,最近一次回购的主要目的是什么？是否涉及股权激励计划？
268,tttt----87,tttt----87----8-2-3 ,该公司在2020-2021年期间的回购总金额在A股上市公司中排名如何？
269,tttt----88,tttt----88----9-2-1 ,伟明环保最近一期员工持股计划的参与总人数是多少？其中管理层参与人数占比(四舍五入精确到小数点后两位，并以百分比形式表示)是多少？
270,tttt----88,tttt----88----9-2-2 ,该期员工持股计划的股票来源是什么？计划购买股票数量是多少股？
271,tttt----88,tttt----88----9-2-3 ,"对比伟明环保与在证券市场和证券类别相同的公司的员工持股计划,分析:(1)在证券市场和证券类别相同的公司的员工持股计划的数量(2)该公司的持股计划规模处于什么水平(精确到小数点后两位，并以百分比形式表示)?(3)管理层参与人数比例处于什么水平(精确到小数点后两位，并以百分比形式表示)?(4)锁定期长度处于什么水平(精确到小数点后两位，并以百分比形式表示)?"
272,tttt----89,tttt----89----10-2-1 ,光环新网(代码:300383)的年度报告中在2021年年末的机构持股比例是多少(四舍五入精确到小数点后两位，并以百分比形式表示)？其中基金持股比例是多少(四舍五入精确到小数点后两位，并以百分比形式表示)？
273,tttt----89,tttt----89----10-2-2 ,非基金定报，以最后一次统计日期为准，该公司2021年全年(第一季度末到第四季度末)机构持股比例分别是多少(四舍五入精确到小数点后两位，并以百分比形式表示)？
274,tttt----89,tttt----89----10-2-3 ,对比2020年末和2021年末的数据，该公司的机构持股比例和基金持股比例分别是多少(四舍五入精确到小数点后两位，并以百分比形式表示)，变化了多少(保留正负符号，四舍五入精确到小数点后两位，并以百分比形式表示)？
275,tttt----90,tttt----90----11-2-1 ,九州通在2020-2021年间实施了几次分红方案？每次分红的合计派现金额（四舍五入保留两位小数，单位元）和实施公告日期（xxxx-xx-xx的格式）分别是多少？
276,tttt----90,tttt----90----11-2-2 ,从公司年报中，在2020-2021年间，该公司的机构持无限售流通A股比例是是否增长(输出是/否)，请列出具体数据，保留4位小数。
277,tttt----90,tttt----90----11-2-3 ,在2020-2021年间，公司发生了多少重大借贷事件（单笔金额超过3000万元）？这些借贷事件最大金额和对应的借款方和贷款方是谁？
278,tttt----91,tttt----91----12-2-1 ,在2021-12-31这一天，A股市场中创出月度新高的公司有哪些（中文名称缩写即可）？他们的证券代码是多少？
279,tttt----91,tttt----91----12-2-2 ,在这些创出新高的公司中，哪些公司的股东中包含企业资本？请列出公司名（中文名称缩写即可）和企业资本股东名称
280,tttt----91,tttt----91----12-2-3 ,"对于同时具备企业资本背景和创新高的公司，请从以下维度深入分析：
    这些公司的行业代码是什么？行业相同的公司分别是什么（中文名称缩写即可）"
281,tttt----92,tttt----92----13-2-1 ,华夏鼎康债券A在2019年的分红次数是多少？每次分红的派现比例是多少？
282,tttt----92,tttt----92----13-2-2 ,基于上述分红数据，在2019年最后一次分红时，如果一位投资者持有1000份该基金，税后可以获得多少分红收益？
283,tttt----92,tttt----92----13-2-3 ,请结合该基金所属的债券型基金分类，分析2019年同类基金的平均分红次数和平均派现比例（四舍五入保留4位小数）
